2019-04-10 04:47:09.637 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_fund_details' already exists: create table cf_project_fund_details (_uuid_ varchar(75) null,_PROJECT_FUND_ID bigint not null primary key,_DONOR_ID bigint,_PROJECT_ID bigint,_CATEGORY_ID bigint,_CURRENCY varchar(75) null,_DONATED_AMOUNT double,_DONOR_USER_ID bigint,_DONOR_STATUS integer,_COMMENT longtext null,_DONATED_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.639 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_image_details' already exists: create table cf_project_image_details (_uuid_ varchar(75) null,_PROJECT_IMAGE_ID bigint not null primary key,_PROJECT_ID bigint,_IMAGE_NAME varchar(75) null,_IMAGE_TYPE varchar(75) null,_IMAGE longblob_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.640 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_master' already exists: create table cf_project_master (_uuid_ varchar(75) null,_PROJECT_ID bigint not null primary key,_USER_ID bigint,_BENIFICIARY_ID bigint,_TITLE longtext null,_DESCRIPTION longtext null,_VIDEO_TYPE varchar(75) null,_VIDEO longblob,_REQUIRED_FUND_AMOUNT double,_CREATION_DATE datetime(6) null,_END_DATE datetime(6) null,_COMMENT varchar(75) null,_STATUS integer,_REQUEST_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.642 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_priority_details' already exists: create table cf_project_priority_details (_uuid_ varchar(75) null,_PROJECT_PRIORITY_ID bigint not null primary key,_PROJECT_ID bigint,_PRIORITY integer,_PRIORITY_SEQUANCE integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.643 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_question_details' already exists: create table cf_project_question_details (_uuid_ varchar(75) null,_PROJECT_QUESTION_ID bigint not null primary key,_PROJECT_ID bigint,_QUESTION longtext null,_QUESTION_REQUESTER_USER_ID bigint,_QUESTION_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.644 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_update_details' already exists: create table cf_project_update_details (_uuid_ varchar(75) null,_PROJECT_UPDATE_ID bigint not null primary key,_PROJECT_ID bigint,_UPDATE_DETAILS longtext null,_UPDATE_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.646 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_subscription_details' already exists: create table cf_subscription_details (_uuid_ varchar(75) null,_SUSCRIBER_ID bigint not null primary key,_EMAIL varchar(75) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.647 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_update_requester_details' already exists: create table cf_update_requester_details (_uuid_ varchar(75) null,_PROJECT_UPDATE_REQUEST_ID bigint not null primary key,_PROJECT_ID bigint,_UPDATE_REQUESTER_USER_ID bigint,_UPDATE_REQUEST_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.660 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_user_follow_details' already exists: create table cf_user_follow_details (_uuid_ varchar(75) null,_USER_FOLLOW_ID bigint not null primary key,_USER_ID bigint,_FOLLOWER_USER_ID bigint,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.662 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_user_master' already exists: create table cf_user_master (_uuid_ varchar(75) null,_USER_ID bigint not null primary key,_USER_OTP_ID bigint,_FULL_NAME varchar(1000) null,_PASSWORD varchar(75) null,_GENDER varchar(75) null,_CREATION_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
